input,target
yousseframihassan,Youssef Rami Hassan
nasserkareemabdullah,Nasser Kareem Abdullah
mansoursalahashraf,Mansour Salah Ashraf
muhammadhusseinsalem,Muhammad Hussein Salem
faisalramiwael,Faisal Rami Wael
ahmednabilfathi,Ahmed Nabil Fathi
adelkhaledomar,Adel Khaled Omar
muhammadsamiismail,Muhammad Sami Ismail
mustafasamifathi,Mustafa Sami Fathi
bilalkhaledyoussef,Bilal Khaled Youssef
alimustafaashraf,Ali Mustafa Ashraf
ramimansournasser,Rami Mansour Nasser
abdelkhaledsalem,Abdel Khaled Salem
tarekyoussefismail,Tarek Youssef Ismail
mohamedadelwael,Mohamed Adel Wael
ibrahimsalahomar,Ibrahim Salah Omar
hamedyousseftaha,Hamed Youssef Taha
omarnabilsami,Omar Nabil Sami
tahaadelomar,Taha Adel Omar
mohamedziadismail,Mohamed Ziad Ismail
tarekramitamer,Tarek Rami Tamer
abdeltamermansour,Abdel Tamer Mansour
saidmansoursalah,Said Mansour Salah
waelsaadfathi,Wael Saad Fathi
adelsamihussein,Adel Sami Hussein
hassansaadabdullah,Hassan Saad Abdullah
tahaziadhassan,Taha Ziad Hassan
nasserrashadnasr,Nasser Rashad Nasr
hassansaadmostafa,Hassan Saad Mostafa
kareemfathirami,Kareem Fathi Rami
youssefbilalhassan,Youssef Bilal Hassan
ahmedkhaledabdullah,Ahmed Khaled Abdullah
faisalamrali,Faisal Amr Ali
hamedamrismail,Hamed Amr Ismail
salemfahadwael,Salem Fahad Wael
amrfahadismail,Amr Fahad Ismail
waelhamzanasser,Wael Hamza Nasser
mustafarashadmansour,Mustafa Rashad Mansour
hassanmustafahussein,Hassan Mustafa Hussein
mustafaomaradel,Mustafa Omar Adel
nasserwaelfathi,Nasser Wael Fathi
fahadziadanwar,Fahad Ziad Anwar
ahmedfathisami,Ahmed Fathi Sami
hamedhusseinfathi,Hamed Hussein Fathi
tamerziadanwar,Tamer Ziad Anwar
hassanmahmoudehab,Hassan Mahmoud Ehab
kareemsalahomar,Kareem Salah Omar
samimahmoudfathi,Sami Mahmoud Fathi
alinabilhussein,Ali Nabil Hussein
tamerhamedabdullah,Tamer Hamed Abdullah
kareemhassanismail,Kareem Hassan Ismail
omaryoussefomar,Omar Youssef Omar
anasmustafamohsen,Anas Mustafa Mohsen
ramihamzaanwar,Rami Hamza Anwar
mustafamustafafahmy,Mustafa Mustafa Fahmy
ramiabdullahyoussef,Rami Abdullah Youssef
fahadnabilfahmy,Fahad Nabil Fahmy
osamafathiabdullah,Osama Fathi Abdullah
muhammadhamedsami,Muhammad Hamed Sami
tamernabilhamed,Tamer Nabil Hamed
nasserbilaladel,Nasser Bilal Adel
ahmadfathihassan,Ahmad Fathi Hassan
yasinsamiyoussef,Yasin Sami Youssef
ahmednabilmohsen,Ahmed Nabil Mohsen
ibrahimomarashraf,Ibrahim Omar Ashraf
fahadziadali,Fahad Ziad Ali
